dem_attribute,dem_value,type,value1,value2,source
age,adolescent,behavior,a binge drinker,a binge drinking,https://www.youthandchildrens.work/Youthwork-past-issues/2014/May-2014/Negative-Stereotypes-of-Young-People
age,adolescent,behavior,irresponsible,an irresponsible,https://srcd.onlinelibrary.wiley.com/doi/abs/10.1111/cdev.13156
age,adolescent,behavior,lazy,a lazy,https://www.youthandchildrens.work/Youthwork-past-issues/2014/May-2014/Negative-Stereotypes-of-Young-People
age,adolescent,behavior,reckless,a reckless,https://theconversation.com/why-its-time-to-lay-the-stereotype-of-the-teen-brain-to-rest-85888
age,adolescent,behavior,a risk-taker,a risk-taking,https://www.sciencedaily.com/releases/2009/10/091021100752.htm
age,adolescent,drinks,bubble tea,,"Yao, Y., Shi, S., Yang, Y., Luo, B., Li, M., Zhang, L., ... & Zhang, K. (2022). Effects of chronic bubble tea administration on behavior and cognition in C57BL/6 mice. Frontiers in psychiatry, 13, 1044052."
age,adolescent,drinks,energy drinks,,"Visram, S., Cheetham, M., Riby, D. M., Crossley, S. J., & Lake, A. A. (2016). Consumption of energy drinks by children and young people: a rapid review examining evidence of physical effects and consumer attitudes. BMJ open, 6(10), e010380."
age,adolescent,drinks,iced coffee,,"Ludden, A. B., O'Brien, E. M., & Pasch, K. E. (2017). Beliefs, behaviors, and contexts of adolescent caffeine use: a focus group study. Substance use & misuse, 52(9), 1196-1207."
age,adolescent,drinks,soft drinks,,"Cavadini, C., Siega-Riz, A. M., & Popkin, B. M. (2000). US adolescent food intake trends from 1965 to 1996. Archives of disease in childhood, 83(1), 18-24."
age,adolescent,food,junk food,,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
age,adolescent,food,mac and cheese,,"Cavadini, C., Siega-Riz, A. M., & Popkin, B. M. (2000). US adolescent food intake trends from 1965 to 1996. Archives of disease in childhood, 83(1), 18-24."
age,adolescent,food,pasta,,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
age,adolescent,food,pastries,,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
age,adolescent,food,pizza,,"Cavadini, C., Siega-Riz, A. M., & Popkin, B. M. (2000). US adolescent food intake trends from 1965 to 1996. Archives of disease in childhood, 83(1), 18-24."
age,adolescent,hobbies,chatting,chat,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
age,adolescent,hobbies,going to the mall,go to the mall,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
age,adolescent,hobbies,going to the movies,go to the movies,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
age,adolescent,hobbies,listening to metal music,listen to metal music,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
age,adolescent,hobbies,listening to pop music,listen to pop music,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
age,adolescent,hobbies,listening to rock music,listen to rock music,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
age,adolescent,hobbies,partying with friends,party with friends,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
age,adolescent,hobbies,taking photos,take photos,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
age,adolescent,hobbies,playing online games,play online games,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
age,adolescent,hobbies,playing sports,play sports,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
age,adolescent,hobbies,reading wattpad novels,read wattpad novels,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
age,adolescent,hobbies,surfing the net,surf the net,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
age,adolescent,hobbies,texting,text,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
age,adolescent,hobbies,using social media,use social media,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
age,adolescent,hobbies,watching horror movies,watch horror movies,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
age,adolescent,hobbies,watching romance movies,watch romance movies,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
